MARIA APARECIDA CONCEIÇÃO PÓVOA;1123;PP;UNIÃO DO TOCANTINS;0;
MARIA DAS DORES BRAGA NUNES;1516;PMDB;ALIANÇA DA VITÓRIA;0;
MARIA DAS DORES DAVI SOUZA;5657;PRONA;FRENTE ALTERNATIVA FATO NOVO;0;
MARIA DO REIS MARQUES DA SILVA CARDOSO;4544;PSDB;UNIÃO DO TOCANTINS;0;
MAURO DE OLIVEIRA CARVALHO;1999;PTN;FRENTE ALTERNATIVA FATO NOVO;0;
MOISÉS NOGUEIRA AVELINO;1510;PMDB;ALIANÇA DA VITÓRIA;0;
NEILA PEREIRA DOS SANTOS;4500;PSDB;UNIÃO DO TOCANTINS;0;
NILMAR GAVINO RUIZ;2515;PFL;ALIANÇA DA VITÓRIA;0;
OSVALDO DE SOUZA REIS;1515;PMDB;ALIANÇA DA VITÓRIA;0;
PALMERI COSTA BEZERRA;1525;PMDB;ALIANÇA DA VITÓRIA;0;
PATRICIA DE OLIVEIRA BATISTA;6585;PC do B;MUDANÇA PRA VALER;0;
PAULO HENRIQUE COSTA MATTOS;5000;PSOL;-;0;
PEDRO NEUTON LOPES FILHO;2343;PPS;ALIANÇA DA VITÓRIA;0;
RAINEL BARBOSA ARAÚJO;1533;PMDB;ALIANÇA DA VITÓRIA;0;
RONALDO DA SILVA SIMAS;1350;PT;MUDANÇA PRA VALER;0;
RUBIAS CARLA GONÇALVES DE SOUZA;2650;PAN;FRENTE ALTERNATIVA FATO NOVO;0;
SELMA CRISTINA DA COSTA PINTO;1913;PTN;FRENTE ALTERNATIVA FATO NOVO;0;
SERGIO RICARDO MARCHESINI MARMELLO;2727;PSDC;-;0;
VICENTE ALVES DE OLIVEIRA;4522;PSDB;UNIÃO DO TOCANTINS;0;
VILMAR CARLOS RODRIGUES;1322;PT;MUDANÇA PRA VALER;0;
WALQUÍRIA PEREIRA CUNHA;6563;PC do B;MUDANÇA PRA VALER;0;
WASCHINGTON MANOEL VIEIRA LIRA;1315;PT;MUDANÇA PRA VALER;0;
WEQUILES COSTA BARBOSA;4411;PRP;FRENTE ALTERNATIVA FATO NOVO;0;
WILSON ALVES DA SILVA;3100;PHS;FATO;0;
ZENIS DE AQUINO DIAS;6541;PC do B;MUDANÇA PRA VALER;0;
