CLEUBER RIBEIRO TEIXEIRA;44000;PRP;FRENTE ALTERNATIVA FATO NOVO;0;
CLEYA BRÍGIDA NUNES;45100;PSDB;UNIÃO E TRABALHO;0;
COLEMAR NATAL CAMARA FERREIRA NUNES DE MELO;25800;PFL;-;0;
CONSTANTINO LOPES GUIMARÃES;40222;PSB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
CRISOSTOMO COSTA VASCONCELOS;22255;PL;UNIÃO PELO TOCANTINS;0;
CUSTODIANA COSTA PINTO;25789;PFL;-;0;
DAGMAR DE ASSIS PORTO;15456;PMDB;-;0;
DALMO LUIZ PIMENTA;14300;PTB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
DANILO UGLÊS SOARES FERREIRA;15111;PMDB;-;0;
DAVID SOUZA AVELINO;26300;PAN;FRENTE ALTERNATIVA FATO NOVO;0;
DELAÍTE ROCHA DA SILVA;23100;PPS;-;0;
DELFINO SERPA DE FREITAS;43555;PV;UNIÃO E TRABALHO;0;
DEODATO COSTA POVOA;25234;PFL;-;0;
DEUSDEDIT NUNES PINHEIRO SOBRINHO;45800;PSDB;UNIÃO E TRABALHO;0;
DIVINA MARCIA DE ALMEIDA AGUIAR;17900;PSL;FATO;0;
DJACY ALMEIDA DA SILVA;65678;PC do B;MUDANÇA PRA VALER;0;
DJANIRA RIBEIRO CARVALHO;70700;PT do B;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
DORIVAL MESSIAS DE SOUZA;25147;PFL;-;0;
EDILEISE BEZERRA OLIVEIRA;36258;PTC;FRENTE ALTERNATIVA FATO NOVO;0;
BRANCOS;0;
NULOS;0;
